Pattern,#SUP:,#CONF:
queen ==> harry,2.0,0.6666666666666666
senor ==> colon,3.0,1.0
senor ==> with,2.0,0.6666666666666666
concern ==> the,2.0,1.0
tube ==> sock,2.0,1.0
bogey ==> saturday,2.0,0.5
bogey ==> party,2.0,0.5
cannot ==> of,2.0,0.5
cannot ==> the,2.0,0.5
ignore ==> of,2.0,1.0
ignore ==> the,2.0,1.0
cannot ==> ignore,2.0,0.5
calculations ==> of,2.0,1.0
ocean ==> is,2.0,0.5
ocean ==> uncrossable,2.0,0.5
set ==> up,3.0,0.75
last ==> you,2.0,0.5
last ==> year,2.0,0.5
guess ==> i,4.0,0.5
name ==> will,2.0,0.5
trust ==> to,2.0,0.6666666666666666
trust ==> you,2.0,0.6666666666666666
trust ==> me,2.0,0.6666666666666666
keep ==> the,3.0,0.6
decisions ==> me,2.0,1.0
tell ==> me,13.0,0.5416666666666666
except ==> my,2.0,0.6666666666666666
told ==> you,5.0,0.7142857142857143
everything ==> i,2.0,0.5
everything ==> you,2.0,0.5
went ==> to,3.0,0.6
wish ==> i,2.0,0.6666666666666666
asked ==> to,2.0,1.0
swear ==> on,2.0,0.6666666666666666
leaving ==> a,2.0,1.0
act ==> like,2.0,0.6666666666666666
act ==> of,2.0,0.6666666666666666
act ==> you,2.0,0.6666666666666666
bobadilla ==> already,2.0,0.6666666666666666
allowed ==> to,2.0,1.0
forgive ==> don,2.0,0.5
forgive ==> me,3.0,0.75
means ==> that,2.0,0.5
least ==> a,2.0,1.0
lowensteins ==> party,2.0,1.0
bogey ==> lowensteins,2.0,0.5
explore ==> the,2.0,1.0
listening ==> to,5.0,0.7142857142857143
might ==> ask,2.0,0.5
gigglepuss ==> is,2.0,0.5
gigglepuss ==> playing,2.0,0.5
club ==> skunk,2.0,1.0
potential ==> of,2.0,1.0
end ==> of,3.0,1.0
end ==> story,2.0,0.6666666666666666
hot ==> rod,2.0,0.6666666666666666
whatever ==> is,2.0,0.6666666666666666
tomorrow ==> night,2.0,1.0
promise ==> you,2.0,0.6666666666666666
accept ==> the,2.0,0.6666666666666666
accept ==> as,2.0,0.6666666666666666
accept ==> world,2.0,0.6666666666666666
accept ==> it,2.0,0.6666666666666666
accept ==> is,2.0,0.6666666666666666
chief ==> says,3.0,0.5
group ==> of,2.0,1.0
starts ==> dating,2.0,1.0
sent ==> em,2.0,1.0
girls ==> like,2.0,0.5
betrayed ==> my,2.0,0.6666666666666666
best ==> for,2.0,1.0
case ==> youre,2.0,0.5
case ==> out,2.0,0.5
while ==> to,2.0,0.6666666666666666
while ==> you,2.0,0.6666666666666666
while ==> the,2.0,0.6666666666666666
750 ==> leagues,2.0,1.0
whole ==> thing,3.0,1.0
number ==> one,2.0,0.6666666666666666
hates ==> you,2.0,1.0
himself ==> the,2.0,0.6666666666666666
those ==> who,2.0,0.5
weve ==> or,2.0,0.5
weve ==> got,2.0,0.5
state ==> trooper,2.0,0.5
love ==> with,2.0,0.5
katarina ==> stratford,2.0,0.6666666666666666
these ==> right,2.0,0.5
these ==> guys,2.0,0.5
these ==> are,2.0,0.5
many ==> people,2.0,0.5
live ==> to,2.0,0.6666666666666666
live ==> a,2.0,0.6666666666666666
howd ==> the,2.0,0.5
howd ==> get,2.0,0.5
howd ==> you,4.0,1.0
decided ==> to,2.0,0.6666666666666666
rest ==> of,2.0,0.6666666666666666
hundred ==> a,2.0,1.0
pick ==> you,2.0,1.0
pick ==> up,2.0,1.0
job ==> that,2.0,0.6666666666666666
came ==> to,2.0,0.6666666666666666
william ==> to,2.0,0.5
looking ==> the,2.0,0.6666666666666666
looking ==> at,3.0,1.0
sarah ==> to,2.0,0.5
sarah ==> i,2.0,0.5
sarah ==> the,2.0,0.5
lawrence ==> to,2.0,0.5
lawrence ==> i,2.0,0.5
sarah ==> lawrence,4.0,1.0
lawrence ==> the,2.0,0.5
realize ==> be,2.0,1.0
show ==> to,3.0,0.6
freshman ==> yearbook,2.0,1.0
paid ==> to,2.0,1.0
paid ==> out,2.0,1.0
paid ==> me,2.0,1.0
paid ==> take,2.0,1.0
down ==> for,2.0,0.5
anyone ==> ever,2.0,0.6666666666666666
anyone ==> you,2.0,0.6666666666666666
anyone ==> told,2.0,0.6666666666666666
anyone ==> that,2.0,0.6666666666666666
"i,and,why ==> do",2.0,0.6666666666666666
"i,and,would ==> do",2.0,0.6666666666666666
"i,and,why,would ==> do",2.0,1.0
"i,my,me ==> do",2.0,0.5
"i,why,would ==> do",2.0,1.0
"youre,what ==> do",2.0,0.6666666666666666
"you,your,on ==> do",2.0,0.6666666666666666
"and,why ==> do",2.0,0.6666666666666666
"and,would ==> do",2.0,0.5
"and,come ==> do",2.0,1.0
"and,the,come ==> do",2.0,1.0
"and,why,would ==> do",2.0,1.0
"the,why ==> do",2.0,0.5
"the,come ==> do",2.0,1.0
"get,her ==> do",2.0,0.5
"your,on ==> do",2.0,0.5
"there,why ==> do",2.0,1.0
"why,would ==> do",2.0,1.0
"im,a,in ==> not",2.0,0.6666666666666666
"did,he ==> not",2.0,0.5
"do,how ==> to",2.0,1.0
"do,there ==> to",2.0,0.6666666666666666
"do,want ==> to",2.0,0.5
"do,how,you ==> to",2.0,1.0
"do,you,it ==> to",2.0,0.5
"do,you,there ==> to",2.0,1.0
"do,you,want ==> to",2.0,0.5
"do,you,why ==> to",2.0,0.5
"do,you,there,why ==> to",2.0,1.0
"do,there,why ==> to",2.0,1.0
"not,did ==> to",2.0,0.6666666666666666
"not,allowed ==> to",2.0,1.0
"not,did,he ==> to",2.0,1.0
"i,need ==> to",2.0,0.6666666666666666
"i,figured ==> to",2.0,1.0
"i,youd ==> to",2.0,1.0
"i,get ==> to",4.0,0.6666666666666666
"i,had ==> to",4.0,0.5
"i,listen ==> to",4.0,1.0
"i,then ==> to",2.0,0.5
"i,we ==> to",3.0,0.5
"i,going ==> to",3.0,0.75
"i,something ==> to",3.0,0.6
"i,find ==> to",3.0,0.6
"i,want ==> to",15.0,0.75
"i,life ==> to",2.0,0.5
"i,point ==> to",2.0,0.5
"i,when ==> to",3.0,0.5
"i,id ==> to",2.0,0.5
"i,guys ==> to",2.0,0.6666666666666666
"i,supposed ==> to",2.0,1.0
"i,talk ==> to",2.0,1.0
"i,daddy ==> to",3.0,0.5
"i,should ==> to",3.0,0.5
"i,even ==> to",2.0,1.0
"i,other ==> to",2.0,0.5
"i,decided ==> to",2.0,1.0
"i,sarah ==> to",2.0,1.0
"i,lawrence ==> to",2.0,1.0
"i,go,and ==> to",2.0,0.6666666666666666
"i,go,if ==> to",2.0,0.6666666666666666
"i,go,want ==> to",3.0,0.6
"i,go,sarah ==> to",2.0,1.0
"i,go,lawrence ==> to",2.0,1.0
"i,go,if,want ==> to",2.0,1.0
"i,go,sarah,lawrence ==> to",2.0,1.0
"i,need,you ==> to",2.0,0.6666666666666666
"i,no,you ==> to",2.0,0.5
"i,you,but ==> to",2.0,0.5
"i,you,going ==> to",2.0,1.0
"i,you,the,for ==> to",2.0,0.5
"i,you,going,thought ==> to",2.0,1.0
"i,know,want ==> to",2.0,0.5
"i,and,about ==> to",2.0,1.0
"i,and,find ==> to",2.0,1.0
"i,dont,are ==> to",2.0,1.0
"i,dont,going ==> to",2.0,1.0
"i,dont,want ==> to",3.0,0.75
"i,dont,are,going ==> to",2.0,1.0
"i,my,life ==> to",2.0,0.6666666666666666
"i,my,point ==> to",2.0,1.0
"i,of,think ==> to",2.0,0.6666666666666666
"i,the,out ==> to",2.0,0.6666666666666666
"i,the,me,can ==> to",2.0,1.0
"i,if,want ==> to",2.0,0.5
"i,me,can ==> to",2.0,0.6666666666666666
"i,listen,can ==> to",2.0,1.0
"i,but,daddy ==> to",2.0,0.6666666666666666
"i,never,have ==> to",2.0,0.6666666666666666
"i,be,something ==> to",2.0,1.0
"i,be,should ==> to",2.0,1.0
"i,be,even ==> to",2.0,1.0
"i,have,a ==> to",4.0,0.5
"i,we,thought ==> to",2.0,1.0
"i,we,were ==> to",3.0,0.75
"i,we,thought,were ==> to",2.0,1.0
"i,is,something ==> to",2.0,1.0
"i,doesnt,want ==> to",2.0,0.6666666666666666
"i,are,going ==> to",2.0,1.0
"i,going,thought ==> to",2.0,1.0
"i,want,daddy ==> to",2.0,1.0
"i,thought,were ==> to",2.0,0.5
"i,sarah,lawrence ==> to",2.0,1.0
"she,just ==> to",2.0,0.5
"she,but ==> to",2.0,0.5
"she,doesnt ==> to",2.0,0.6666666666666666
"she,but,doesnt ==> to",2.0,1.0
"go,want ==> to",3.0,0.5
"go,were ==> to",2.0,1.0
"go,would ==> to",2.0,1.0
"go,even ==> to",2.0,0.6666666666666666
"go,sarah ==> to",2.0,1.0
"go,lawrence ==> to",2.0,1.0
"go,if,we ==> to",2.0,1.0
"go,if,want ==> to",2.0,1.0
"go,if,were ==> to",2.0,1.0
"go,if,we,were ==> to",2.0,1.0
"go,we,were ==> to",2.0,1.0
"go,sarah,lawrence ==> to",2.0,1.0
"youre,gonna ==> to",2.0,0.6666666666666666
"youre,need ==> to",2.0,0.5
"youre,what ==> to",2.0,0.6666666666666666
"youre,is ==> to",2.0,0.5
"need,you ==> to",4.0,0.6666666666666666
"need,dont ==> to",2.0,0.6666666666666666
"need,we ==> to",2.0,0.5
"need,dont,we ==> to",2.0,1.0
"how,know ==> to",3.0,0.6
"how,and ==> to",2.0,1.0
"how,dont ==> to",2.0,1.0
"how,me ==> to",2.0,0.6666666666666666
"how,want ==> to",3.0,1.0
"how,you,know ==> to",2.0,0.5
"how,you,and ==> to",2.0,1.0
"how,you,me ==> to",2.0,0.6666666666666666
"how,you,want ==> to",2.0,1.0
"how,you,me,want ==> to",2.0,1.0
"how,know,dont ==> to",2.0,1.0
"how,me,want ==> to",2.0,1.0
"no,never ==> to",2.0,1.0
"no,that ==> to",2.0,1.0
"no,you,never ==> to",2.0,1.0
"im,got ==> to",2.0,1.0
"im,supposed ==> to",3.0,1.0
"im,that,got ==> to",2.0,1.0
"you,god ==> to",3.0,0.6
"you,listen ==> to",2.0,0.5
"you,believe ==> to",2.0,0.6666666666666666
"you,going ==> to",3.0,0.6
"you,id ==> to",3.0,0.6
"you,talk ==> to",3.0,0.75
"you,trust ==> to",2.0,0.6666666666666666
"you,listening ==> to",2.0,0.6666666666666666
"you,show ==> to",3.0,1.0
"you,speak ==> to",3.0,0.5
"you,know,and ==> to",2.0,0.5
"you,and,want ==> to",2.0,1.0
"you,and,up ==> to",2.0,1.0
"you,like,one ==> to",2.0,1.0
"you,like,id ==> to",2.0,1.0
"you,like,one,id ==> to",2.0,1.0
"you,the,always ==> to",2.0,1.0
"you,what,are ==> to",2.0,0.5
"you,what,listening ==> to",2.0,1.0
"you,what,are,listening ==> to",2.0,1.0
"you,get,a ==> to",2.0,0.6666666666666666
"you,get,him ==> to",2.0,1.0
"you,god,if ==> to",2.0,1.0
"you,one,id ==> to",2.0,1.0
"you,me,want ==> to",4.0,0.5714285714285714
"you,for,believe ==> to",2.0,1.0
"you,we,were ==> to",2.0,0.6666666666666666
"you,him,let ==> to",2.0,0.5
"you,are,why ==> to",2.0,1.0
"you,are,listening ==> to",2.0,1.0
"you,going,thought ==> to",2.0,1.0
"you,there,why ==> to",2.0,1.0
"you,want,trust ==> to",2.0,1.0
"sometimes,are ==> to",2.0,1.0
"and,about ==> to",2.0,1.0
"and,find ==> to",2.0,0.6666666666666666
"and,want ==> to",2.0,1.0
"and,up ==> to",3.0,0.5
"and,while ==> to",2.0,1.0
"and,her,a ==> to",2.0,1.0
"and,up,while ==> to",2.0,1.0
"dont,like ==> to",3.0,0.5
"dont,we ==> to",2.0,0.5
"dont,are ==> to",2.0,0.6666666666666666
"dont,going ==> to",2.0,1.0
"dont,want ==> to",3.0,0.6
"dont,why ==> to",2.0,0.5
"dont,are,going ==> to",2.0,1.0
"like,one ==> to",2.0,1.0
"like,have ==> to",2.0,1.0
"like,because ==> to",2.0,0.6666666666666666
"like,id ==> to",2.0,0.6666666666666666
"like,one,id ==> to",2.0,1.0
"my,point ==> to",2.0,1.0
"the,always ==> to",2.0,1.0
"the,want ==> to",2.0,0.5
"the,me,can ==> to",2.0,1.0
"the,me,tell ==> to",2.0,0.5
"the,it,there ==> to",2.0,1.0
"what,are ==> to",2.0,0.5
"what,up ==> to",2.0,0.5
"what,listening ==> to",2.0,1.0
"what,isnt ==> to",2.0,0.6666666666666666
"what,are,listening ==> to",2.0,1.0
"get,have ==> to",2.0,0.6666666666666666
"get,her ==> to",2.0,0.5
"get,him ==> to",2.0,1.0
"get,have,a ==> to",2.0,1.0
"god,if ==> to",2.0,1.0
"if,we ==> to",2.0,0.6666666666666666
"if,want ==> to",3.0,0.75
"if,were ==> to",2.0,1.0
"if,we,were ==> to",2.0,1.0
"one,there ==> to",2.0,1.0
"one,id ==> to",2.0,1.0
"one,is,there ==> to",2.0,1.0
"about,that ==> to",2.0,0.6666666666666666
"your,are ==> to",2.0,0.5
"me,want ==> to",4.0,0.5714285714285714
"me,can ==> to",2.0,0.5
"me,up ==> to",2.0,0.5
"me,daddy ==> to",2.0,0.6666666666666666
"me,expect ==> to",2.0,1.0
"listen,can ==> to",2.0,1.0
"then,find ==> to",2.0,1.0
"but,doesnt ==> to",2.0,0.6666666666666666
"but,daddy ==> to",2.0,0.5
"all,have ==> to",2.0,0.6666666666666666
"never,have ==> to",3.0,0.75
"did,he ==> to",2.0,0.5
"for,believe ==> to",2.0,1.0
"be,something ==> to",2.0,0.6666666666666666
"be,should ==> to",2.0,0.6666666666666666
"be,even ==> to",2.0,1.0
"be,wont ==> to",2.0,0.6666666666666666
"have,would ==> to",2.0,0.5
"have,anything ==> to",2.0,1.0
"have,time ==> to",2.0,0.6666666666666666
"we,him ==> to",2.0,0.5
"we,are ==> to",3.0,0.6
"we,going ==> to",2.0,0.6666666666666666
"we,thought ==> to",2.0,1.0
"we,were ==> to",4.0,0.5714285714285714
"we,here ==> to",2.0,0.6666666666666666
"we,thought,were ==> to",2.0,1.0
"is,something ==> to",2.0,0.6666666666666666
"is,there ==> to",4.0,0.5714285714285714
"is,id ==> to",2.0,1.0
"is,way ==> to",2.0,1.0
"that,got ==> to",2.0,1.0
"that,tell ==> to",2.0,0.5
"a,id ==> to",2.0,0.6666666666666666
"a,way ==> to",2.0,0.5
"it,there ==> to",2.0,0.5
"doesnt,want ==> to",2.0,0.5
"are,going ==> to",3.0,1.0
"are,why ==> to",2.0,1.0
"are,listening ==> to",2.0,1.0
"are,men ==> to",2.0,0.6666666666666666
"going,thought ==> to",2.0,1.0
"there,only ==> to",2.0,1.0
"there,why ==> to",2.0,1.0
"want,trust ==> to",2.0,1.0
"want,daddy ==> to",2.0,1.0
"thought,were ==> to",2.0,0.5
"up,while ==> to",2.0,1.0
"sarah,lawrence ==> to",2.0,0.5
"do,if ==> i",2.0,0.5
"do,you,if ==> i",2.0,0.5
"not,that ==> i",2.0,0.5
"not,its ==> i",2.0,0.6666666666666666
"not,guess ==> i",2.0,0.6666666666666666
"to,youll ==> i",2.0,1.0
"to,you,youll ==> i",2.0,1.0
"im,out ==> i",2.0,1.0
"you,as ==> i",3.0,0.5
"you,youll ==> i",2.0,1.0
"you,know,what ==> i",2.0,0.6666666666666666
"you,dont,if ==> i",2.0,0.6666666666666666
"you,the,as ==> i",2.0,0.5
"you,the,is,as ==> i",2.0,1.0
"you,your,on ==> i",2.0,0.6666666666666666
"you,is,as ==> i",2.0,1.0
"know,what ==> i",3.0,0.5
"this,has ==> i",2.0,1.0
"and,about ==> i",2.0,1.0
"and,theres ==> i",2.0,1.0
"and,why ==> i",2.0,0.6666666666666666
"and,would ==> i",2.0,0.5
"and,has ==> i",2.0,0.6666666666666666
"and,why,would ==> i",2.0,1.0
"and,he,has ==> i",2.0,1.0
"dont,if ==> i",2.0,0.6666666666666666
"the,your,in ==> i",2.0,0.6666666666666666
"the,me,in ==> i",2.0,0.6666666666666666
"the,with,would ==> i",2.0,1.0
"the,is,as ==> i",2.0,0.5
"what,me,is ==> i",2.0,1.0
"your,on ==> i",2.0,0.5
"me,cant ==> i",2.0,1.0
"me,away ==> i",2.0,1.0
"me,cant,away ==> i",2.0,1.0
"then,tell ==> i",2.0,1.0
"but,daddy ==> i",2.0,0.5
"well,theres ==> i",2.0,1.0
"with,would ==> i",2.0,1.0
"be,than ==> i",2.0,0.6666666666666666
"is,as ==> i",2.0,0.5
"is,something ==> i",2.0,0.6666666666666666
"cant,away ==> i",2.0,1.0
"why,would ==> i",2.0,1.0
"he,has ==> i",2.0,0.5
"sarah,lawrence ==> i",2.0,0.5
"how,be ==> so",2.0,0.5
"how,can ==> so",2.0,1.0
"how,you,be ==> so",2.0,1.0
"how,you,can ==> so",2.0,1.0
"how,you,be,can ==> so",2.0,1.0
"how,be,can ==> so",2.0,1.0
"you,of,can ==> so",2.0,0.5
"you,of,the,can ==> so",2.0,0.6666666666666666
"this,are ==> so",2.0,0.6666666666666666
"this,the,are ==> so",2.0,1.0
"of,can ==> so",2.0,0.5
"of,the,can ==> so",2.0,0.6666666666666666
"to,i,her ==> she",2.0,0.5
"do,is ==> go",3.0,0.5
"do,to,is ==> go",2.0,0.6666666666666666
"do,to,you,is ==> go",2.0,1.0
"do,you,is ==> go",2.0,1.0
"to,i,we ==> go",2.0,0.5
"to,need,you ==> go",2.0,0.5
"to,you,is ==> go",2.0,0.5
"to,if,we ==> go",2.0,1.0
"to,if,were ==> go",2.0,1.0
"to,if,we,were ==> go",2.0,1.0
"to,we,were ==> go",2.0,0.5
"to,is,id ==> go",2.0,1.0
"i,actually ==> go",2.0,0.6666666666666666
"she,but ==> go",2.0,0.5
"she,cant ==> go",2.0,0.6666666666666666
"she,but,cant ==> go",2.0,1.0
"you,know,if ==> go",2.0,0.5
"you,this,and ==> go",2.0,0.6666666666666666
"you,if,then ==> go",2.0,0.6666666666666666
"you,one,is ==> go",2.0,1.0
"know,if ==> go",2.0,0.5
"this,and ==> go",3.0,0.6
"and,cant ==> go",2.0,0.5
"youd,but ==> go",2.0,1.0
"if,then ==> go",2.0,0.6666666666666666
"if,we ==> go",2.0,0.6666666666666666
"if,were ==> go",2.0,1.0
"if,we,were ==> go",2.0,1.0
"but,cant ==> go",2.0,0.5
"is,id ==> go",2.0,1.0
"to,you,just ==> youre",2.0,0.5
"so,you,that ==> youre",2.0,0.6666666666666666
"so,you,the,that ==> youre",2.0,0.6666666666666666
"so,the,that ==> youre",2.0,0.6666666666666666
"you,just,for ==> youre",2.0,0.6666666666666666
"you,if,then ==> youre",2.0,0.6666666666666666
"if,then ==> youre",2.0,0.6666666666666666
"youre,who ==> need",2.0,1.0
"dont,we ==> need",2.0,0.5
"do,not ==> you",2.0,0.5
"do,how ==> you",2.0,1.0
"do,what ==> you",8.0,0.5333333333333333
"do,if ==> you",2.0,0.5
"do,one ==> you",2.0,1.0
"do,then ==> you",2.0,1.0
"do,at ==> you",2.0,0.6666666666666666
"do,sure ==> you",3.0,1.0
"do,two ==> you",2.0,1.0
"do,there ==> you",2.0,0.6666666666666666
"do,only ==> you",2.0,1.0
"do,why ==> you",3.0,0.5
"do,the,only ==> you",2.0,1.0
"do,there,why ==> you",2.0,1.0
"not,its ==> you",2.0,0.6666666666666666
"not,i,its ==> you",2.0,1.0
"to,god ==> you",3.0,0.5
"to,if ==> you",5.0,0.5
"to,wanted ==> you",2.0,1.0
"to,where ==> you",2.0,1.0
"to,let ==> you",2.0,0.6666666666666666
"to,why ==> you",2.0,0.5
"to,talk ==> you",2.0,0.5
"to,ask ==> you",2.0,0.6666666666666666
"to,i,like ==> you",3.0,0.6
"to,i,if ==> you",3.0,0.6
"to,i,listen ==> you",2.0,0.5
"to,i,never ==> you",2.0,0.5
"to,i,with ==> you",6.0,0.5454545454545454
"to,i,cant ==> you",2.0,0.6666666666666666
"to,i,are ==> you",2.0,0.5
"to,i,because ==> you",2.0,0.5
"to,i,prom ==> you",2.0,0.6666666666666666
"to,i,talk ==> you",2.0,1.0
"to,i,tell ==> you",2.0,0.6666666666666666
"to,i,should ==> you",2.0,0.5
"to,i,ask ==> you",2.0,1.0
"to,i,go,the ==> you",2.0,0.5
"to,i,go,if ==> you",2.0,1.0
"to,i,go,with ==> you",2.0,0.5
"to,i,go,want ==> you",3.0,0.6
"to,i,go,if,want ==> you",2.0,1.0
"to,i,go,with,want ==> you",2.0,0.6666666666666666
"to,i,the,if ==> you",2.0,0.6666666666666666
"to,i,the,out ==> you",2.0,0.6666666666666666
"to,i,the,with ==> you",3.0,0.75
"to,i,the,cant ==> you",2.0,0.6666666666666666
"to,i,the,want ==> you",2.0,0.6666666666666666
"to,i,the,prom ==> you",2.0,0.6666666666666666
"to,i,the,if,out ==> you",2.0,1.0
"to,i,the,with,want ==> you",2.0,1.0
"to,i,if,out ==> you",2.0,1.0
"to,i,if,want ==> you",2.0,0.6666666666666666
"to,i,with,a ==> you",2.0,0.6666666666666666
"to,i,with,want ==> you",3.0,0.75
"to,i,have,a ==> you",3.0,0.75
"to,go,if ==> you",3.0,0.75
"to,go,want ==> you",3.0,0.5
"to,go,if,want ==> you",2.0,1.0
"to,go,with,want ==> you",2.0,0.6666666666666666
"to,and,want ==> you",2.0,1.0
"to,and,me,want ==> you",2.0,1.0
"to,the,if ==> you",2.0,0.5
"to,the,all ==> you",2.0,0.6666666666666666
"to,the,out ==> you",2.0,0.6666666666666666
"to,the,with ==> you",3.0,0.6
"to,the,cant ==> you",2.0,0.5
"to,the,want ==> you",2.0,0.5
"to,the,if,out ==> you",2.0,1.0
"to,the,with,want ==> you",2.0,1.0
"to,god,if ==> you",2.0,1.0
"to,if,out ==> you",2.0,1.0
"to,if,have ==> you",2.0,1.0
"to,if,want ==> you",2.0,0.6666666666666666
"to,never,with ==> you",2.0,1.0
"to,with,want ==> you",3.0,0.75
"to,be,have ==> you",2.0,0.5
"to,be,have,a ==> you",2.0,1.0
"to,have,a ==> you",4.0,0.5
"i,need ==> you",2.0,0.6666666666666666
"i,if ==> you",7.0,0.5833333333333334
"i,listen ==> you",3.0,0.75
"i,any ==> you",2.0,0.6666666666666666
"i,thats ==> you",2.0,0.5
"i,wanted ==> you",2.0,0.6666666666666666
"i,we ==> you",3.0,0.5
"i,really ==> you",3.0,0.6
"i,its ==> you",3.0,0.75
"i,want ==> you",10.0,0.5
"i,only ==> you",3.0,0.6
"i,thought ==> you",10.0,0.7692307692307693
"i,start ==> you",2.0,0.6666666666666666
"i,prom ==> you",2.0,0.6666666666666666
"i,id ==> you",2.0,0.5
"i,actually ==> you",3.0,1.0
"i,talk ==> you",2.0,1.0
"i,keep ==> you",2.0,0.6666666666666666
"i,told ==> you",2.0,0.6666666666666666
"i,ask ==> you",2.0,0.5
"i,colon ==> you",2.0,1.0
"i,eminence ==> you",2.0,1.0
"i,so,the ==> you",2.0,0.5
"i,so,with ==> you",2.0,0.6666666666666666
"i,go,the ==> you",2.0,0.5
"i,go,if ==> you",2.0,0.6666666666666666
"i,go,with ==> you",4.0,0.5714285714285714
"i,go,want ==> you",3.0,0.6
"i,go,actually ==> you",2.0,1.0
"i,go,if,want ==> you",2.0,1.0
"i,go,out,actually ==> you",2.0,1.0
"i,go,out,with,actually ==> you",2.0,1.0
"i,go,with,want ==> you",2.0,0.6666666666666666
"i,go,with,actually ==> you",2.0,1.0
"i,know,but ==> you",2.0,0.6666666666666666
"i,know,thought ==> you",2.0,0.6666666666666666
"i,this,the ==> you",2.0,0.6666666666666666
"i,and,only ==> you",2.0,0.6666666666666666
"i,and,the,only ==> you",2.0,0.6666666666666666
"i,dont,really ==> you",2.0,1.0
"i,dont,want ==> you",2.0,0.5
"i,dont,why ==> you",2.0,1.0
"i,dont,really,think ==> you",2.0,1.0
"i,the,if ==> you",2.0,0.6666666666666666
"i,the,but ==> you",2.0,0.5
"i,the,out ==> you",2.0,0.6666666666666666
"i,the,cant ==> you",3.0,0.6
"i,the,want ==> you",2.0,0.6666666666666666
"i,the,only ==> you",3.0,0.75
"i,the,up ==> you",2.0,1.0
"i,the,prom ==> you",2.0,0.6666666666666666
"i,the,keep ==> you",2.0,1.0
"i,the,if,out ==> you",2.0,1.0
"i,the,with,want ==> you",2.0,1.0
"i,the,in,cant ==> you",2.0,1.0
"i,the,in,keep ==> you",2.0,1.0
"i,the,in,cant,keep ==> you",2.0,1.0
"i,the,cant,keep ==> you",2.0,1.0
"i,what,say ==> you",3.0,1.0
"i,if,out ==> you",2.0,0.6666666666666666
"i,if,with ==> you",2.0,0.6666666666666666
