ine,conv,group,name,text,sentiment
L2432,u15,m1,BOBADILLA,I am afraid this is not the worst news.,negative
L2431,u16,m1,COLUMBUS,How could I be? The mainland has been found. Exactly as I said it would.,positive
L2430,u15,m1,BOBADILLA,I am not a seaman. But I heard it is no more than a week at sea. I hope you are not too disappointed.,negative
L2429,u16,m1,COLUMBUS,How far from here?,neutral
L2426,u16,m1,COLUMBUS,Congratulations. Then I am free to search for the mainland.,positive
L2425,u15,m1,BOBADILLA,Viceroy of the West Indies.,positive
L2424,u16,m1,COLUMBUS,Appointment to what?,negative
L2423,u15,m1,BOBADILLA,My letters of appointment.,neutral
L2422,u16,m1,COLUMBUS,Yes I remember,positive
L2421,u15,m1,BOBADILLA,Don Alonso de Bobadilla.,positive
L2293,u16,m1,COLUMBUS,Bartolome and Giacomo Colon.,positive
L2292,u15,m1,BOBADILLA,May I ask by whom?,neutral
L2291,u16,m1,COLUMBUS,Forgive me Don Bobadilla those positions have already been taken.,neutral
L2290,u15,m1,BOBADILLA,I understand that you will soon be appointing Governors for the islands? Is it not so?,negative
L2552,u17,m1,FERNANDO,Tell me the first thing that comes to your mind.,neutral
L2551,u16,m1,COLUMBUS,Really? God I wouldn't know where to start and yet,negative
L2550,u17,m1,FERNANDO,I want you to tell me everything you remember Father. From the beginning. Everything.,positive
L2549,u16,m1,COLUMBUS,He never had one except aboard my ships!,positive
L2548,u17,m1,FERNANDO,He asks when he can come to visit you. He left his address.,positive
L2547,u16,m1,COLUMBUS,What does he say?,negative
L2542,u17,m1,FERNANDO,I am not listening Father. But I can't help hearing.,negative
L2541,u16,m1,COLUMBUS,What are you listening to?,negative
L2501,u16,m1,COLUMBUS,There must be a passage to that other ocean.,neutral
L2500,u17,m1,FERNANDO,Father,positive
L2485,u17,m1,FERNANDO,Not bad.,positive
L2484,u16,m1,COLUMBUS,How are you feeling Fernando?,neutral
L2440,u17,m1,FERNANDO,This time with me!,positive
L2439,u16,m1,COLUMBUS,I have to explore the mainland.,neutral
L2131,u16,m1,COLUMBUS,Yes Yes I do On all of them!,positive
L2130,u17,m1,FERNANDO,Do you swear on all the Holy Saints in heaven?,positive
L2129,u17,m1,FERNANDO,You promise? Do you swear on St. Christopher?,negative
L2128,u16,m1,COLUMBUS,There'll be a time.,positive
L2127,u17,m1,FERNANDO,I want to go with you!,neutral
L2469,u16,m1,COLUMBUS,All of them created by people like me.,positive
L2468,u24,m1,SANCHEZ,Roofs towers palaces spires,positive
L2467,u16,m1,COLUMBUS,What do you see?,neutral
L2466,u16,m1,COLUMBUS,Look out of that window.,neutral
L2465,u24,m1,SANCHEZ,I am not afraid of you. You are nothing but a dreamer.,positive
L2464,u16,m1,COLUMBUS,Call them.,neutral
L2463,u24,m1,SANCHEZ,All I have to do is call the guards.,negative
L2301,u24,m1,SANCHEZ,To rise so high in so short a time is a dangerous occupation. A little hypocrisy goes a long way.,negative
L2300,u16,m1,COLUMBUS,What? Do I have so many already?,negative
L2299,u24,m1,SANCHEZ,You seem to have a special talent for making friends.,positive
L2297,u16,m1,COLUMBUS,Good! We are also in need of judges. Except there are no thieves!,negative
L2296,u24,m1,SANCHEZ,Don Bobadilla is already a judge my Dear Don Cristobal.,positive
L2295,u16,m1,COLUMBUS,But we do have a lack of notaries. You should contact my administration.,neutral
L2287,u16,m1,COLUMBUS, for a commoner?,positive
L2286,u24,m1,SANCHEZ,You defend yourself admirably,negative
L2282,u24,m1,SANCHEZ,Forgive me Don Colon. But what about gold?,neutral
L2281,u16,m1,COLUMBUS,They don't see sin in their nakedness. They live according to nature in a never ending summer. The islands are covered with trees filled with blossoms and fruits. And,positive
L2110,u24,m1,SANCHEZ,If you won't accept our proposal we'll simply find someone who will.,neutral
L2109,u16,m1,COLUMBUS,And were you never ambitious Excellency? Or is ambition only a virtue among the nobles a fault for the rest of us?,negative
L2108,u24,m1,SANCHEZ,Then you are too ambitious.,positive
L2107,u16,m1,COLUMBUS,I'm not bargaining!,negative
L2106,u24,m1,SANCHEZ,I remind you Senor Colon that you are in no position to bargain with me.,negative
L2105,u16,m1,COLUMBUS,NO! I have waited too long fought too hard. Now you expect me to take all the risks while you take the profit! No I will not be your servant!,negative
L2104,u24,m1,SANCHEZ,No?,negative
L2103,u16,m1,COLUMBUS,No,negative
L2410,u25,m1,UTAPAN,You never learned how to speak my language.,negative
L2409,u16,m1,COLUMBUS,Utapan won't you speak to me? You used to know how to speak to me.,negative
L2394,u25,m1,UTAPAN,You did the same to your God!,positive
L2393,u16,m1,COLUMBUS,You have to find them Utapan. Look what they did!,neutral
L2343,u16,m1,COLUMBUS,Ask him if he will help.,neutral
L2342,u25,m1,UTAPAN,He understands.,positive
L2341,u16,m1,COLUMBUS,We will work with his people. We want peace. Ask the Chief if he understands?,neutral
L2260,u16,m1,COLUMBUS,He has medicine. Tell him we admire his people.,positive
L2259,u25,m1,UTAPAN,Chief says,neutral
L2258,u16,m1,COLUMBUS, and also to bring medicine.,positive
L2257,u25,m1,UTAPAN,Chief says he has a God.,positive
L2256,u16,m1,COLUMBUS,To bring the word of God.,positive
L2255,u25,m1,UTAPAN,Why?,negative
L2254,u16,m1,COLUMBUS,Thousands.,positive
L2253,u25,m1,UTAPAN,Chief says how many?,neutral
L2251,u16,m1,COLUMBUS,Tell him his country is very beautiful. Tell him we are leaving men here to build a fort.,positive
L2250,u25,m1,UTAPAN,Chief knows.,positive
L2249,u16,m1,COLUMBUS,Tell the Chief we thank him.,positive
L2248,u25,m1,UTAPAN,You come! You speak first!,neutral
L2239,u25,m1,UTAPAN,Island. Far.,positive
L2238,u16,m1,COLUMBUS,What is it? A tribe? An island?,neutral
L2237,u25,m1,UTAPAN,Say not here! Cuba!,neutral
L2535,u16,m1,COLUMBUS,I don't know I have the impression that I didn't change that much. I still can't accept the world as it is!,negative
L2534,u19,m1,MARCHENA,Oh? So you are a new man?,positive
L2533,u16,m1,COLUMBUS,New worlds create new people.,positive
L2532,u19,m1,MARCHENA,I knew you would.,positive
L2531,u16,m1,COLUMBUS,I have to disagree.,negative
L2526,u16,m1,COLUMBUS,You'll always be older than me Father.,positive
L2525,u19,m1,MARCHENA,I suppose we're both old men now.,negative
L2145,u16,m1,COLUMBUS,Give me absolution.,neutral
L2144,u19,m1,MARCHENA,I believed in you,positive
L2143,u16,m1,COLUMBUS,You are bound by an oath Father.,positive
L2142,u19,m1,MARCHENA,My son my son Your certitudes are sometimes frightening Christopher you must speak to them. And if you don't I will.,positive
L2141,u16,m1,COLUMBUS,If I tell them they won't follow me. You know that I am right Father. You trust me,positive
L2140,u19,m1,MARCHENA,May God forgive you! You must tell them! You must tell your men!,neutral
L2139,u16,m1,COLUMBUS,I am not sure It could be twice the distance.,positive
L2138,u19,m1,MARCHENA,How long?,negative
L2137,u16,m1,COLUMBUS,I lied. The journey will be longer than I said.,negative
L2136,u19,m1,MARCHENA,What are you saying?,negative
L2135,u16,m1,COLUMBUS,Father I have betrayed my family. I betrayed my men. And I betrayed you.,negative
L2134,u19,m1,MARCHENA,I am listening my son.,positive
L2133,u16,m1,COLUMBUS,Forgive me Father. For I have sinned.,neutral
L2132,u19,m1,MARCHENA,In Nomine Patris et Filius et Spiritus Sancti.,positive
L2046,u19,m1,MARCHENA,Colon! Don't!,neutral
L2045,u16,m1,COLUMBUS,All of them! Just lies!,negative
L2042,u16,m1,COLUMBUS,Damn all of you! You all set up theories based on what? You never leave the safety of your studies! Go out! Find out what the world is about and then tell me something I can listen to!,negative
L2041,u19,m1,MARCHENA,Colon!,positive
L2040,u16,m1,COLUMBUS,Damn God!,positive
L2039,u19,m1,MARCHENA,If God intends you to go then you will go.,neutral
L2038,u16,m1,COLUMBUS,Wait! I've waited seven years already! How much longer do you want me to wait?,negative
L2037,u19,m1,MARCHENA,You mustn't give way to despair. You must wait.,negative
L1969,u19,m1,MARCHENA,Only God knows the meaning of such words my son.,positive
L1968,u16,m1,COLUMBUS,I've been contradicted all my life Eternity!,positive
L1967,u19,m1,MARCHENA,You get so carried away when you are being contradicted!,neutral
L1966,u16,m1,COLUMBUS,Passion is something one cannot control!,positive
L1965,u19,m1,MARCHENA,Father Marchena!,positive
L1964,u16,m1,COLUMBUS,I'll try to remember that Marchena,neutral
L1963,u19,m1,MARCHENA,Two minutes and already you're a dead man. Don't let passion overwhelm you Colon.,negative
L1962,u16,m1,COLUMBUS,So was Christ!,positive
L1961,u19,m1,MARCHENA,Esdras is a Jew.,negative
L1960,u16,m1,COLUMBUS,The calculations of Toscanelli Marin de Tyr Esdras,positive
L1959,u19,m1,MARCHENA,How can you be so certain?,negative
L1958,u16,m1,COLUMBUS,Ignorance! I believe the Indies are no more than 750 leagues west of the Canary Islands.,negative
L1957,u19,m1,MARCHENA,How can you be so certain? The Ocean is said to be infinite.,neutral
L1952,u16,m1,COLUMBUS,To open a new route to Asia. At the moment there are only two ways of reaching it,neutral
L1951,u19,m1,MARCHENA,Why do you wish to sail west?,negative
L1950,u19,m1,MARCHENA,With some difficulty. I had to promise them you were not a total fool.,negative
L1949,u16,m1,COLUMBUS,How did you manage it?,negative
L1948,u19,m1,MARCHENA,That's what it says.,negative
L1947,u16,m1,COLUMBUS,God That's in a week!,positive
L1943,u16,m1,COLUMBUS,Father I am doing what I think is the best for him. And he has the teacher I would have chosen for myself.,positive
L1942,u19,m1,MARCHENA,Diego is a bright boy a pleasure to teach but so serious Brothers should be raised together Colon. Even brothers from different mothers,positive
L2459,u16,m1,COLUMBUS,Your Majesty some men are content to read about things. I must see them with my own eyes. I cannot be other than I am.,positive
L2458,u18,m1,ISABEL,There is one thing I'd like to understand Why do you want to go back after all this?,negative
L2457,u16,m1,COLUMBUS,Thank you.,positive
L2456,u18,m1,ISABEL,But without your brothers. Nor are you to return to Santo Domingo or any of the other colonies. You may explore the continent.,neutral
L2280,u16,m1,COLUMBUS,They come and go as naked as the day God created them,positive
L2279,u18,m1,ISABEL,Do they have such thoughts?,negative
L2086,u16,m1,COLUMBUS,Thirty seven Your Majesty And you?,neutral
L2085,u18,m1,ISABEL,How old are you Senor Colon?,neutral
L2082,u18,m1,ISABEL,A woman?,positive
L2081,u16,m1,COLUMBUS,"I know what I see. I see someone who doesn't accept the world as it is. Who's not afraid. I see a women who thinks ""What if?""",negative
L2080,u18,m1,ISABEL,You show no inclination to speak otherwise!,neutral
L2079,u16,m1,COLUMBUS,May I speak freely?,neutral
L2077,u16,m1,COLUMBUS,Surely you can do anything you want.,positive
L2076,u18,m1,ISABEL,I cannot ignore the verdict of my council.,negative
L2075,u18,m1,ISABEL,That she was impregnable.,positive
L2074,u16,m1,COLUMBUS,What did they say about Granada before today?,negative
L2073,u18,m1,ISABEL,The ocean is uncrossable?,positive
L2072,u16,m1,COLUMBUS,No more than the woman who said she would take Granada from the Moors.,negative
L2071,u18,m1,ISABEL,I should not even be listening to you since my council said no. But Santangel tells me you are a man of honor and sincerity And Sanchez that you are not a fool.,positive
L2389,u21,m1,MOXICA,You will regret this.,negative
L2388,u16,m1,COLUMBUS,You'll be held in detention deprived of your privileges and possessions. Until you are returned to Spain where you will be judged. Have you anything to say?,neutral
L2387,u21,m1,MOXICA,Savagery is what monkeys understand.,positive
L2386,u16,m1,COLUMBUS,In one act of brutality you have created chaos. Tribes who were fighting each other are now joining forces against us! All that because of your criminal savagery!,negative
L2348,u21,m1,MOXICA,You did not hear me Don Colon. Not my horse.,negative
L2347,u16,m1,COLUMBUS,Don Moxica we all have to work.,negative
L2346,u21,m1,MOXICA,My horse doesn't work.,negative
L2345,u16,m1,COLUMBUS,We can't raise the wheel without it.,negative
L2333,u16,m1,COLUMBUS,We came here to stay! To build! Not to start a crusade. In this forest there is enough danger to sweep us away in days! So we will be brave and swallow our grief. And in the name of those who died we will accomplish what we came for.,neutral
L2332,u21,m1,MOXICA,We don't need to know.,neutral
L2331,u16,m1,COLUMBUS,You want a war? Fine. We are a thousand. They outnumber us by ten! Who will you kill? Which tribe?,neutral
L2329,u16,m1,COLUMBUS,If you want to keep your head on your shoulders you'll do as I say.,neutral
L2328,u21,m1,MOXICA,We lost cousins friends. We will wash this in blood.,neutral
L2278,u16,m1,COLUMBUS,The Indians have no such word Don Moxica.,negative
L2277,u21,m1,MOXICA,And you say this is an Indian vice? By God! I don't see any kind of pleasure that would make this a sin.,negative
L2492,u20,m1,MENDEZ,We can't be.,negative
L2491,u16,m1,COLUMBUS,He's drawing an isthmus He's saying we're on an isthmus.,negative
L2490,u20,m1,MENDEZ,What's he doing?,negative
L2165,u20,m1,MENDEZ,Twenty eight.,positive
L2164,u16,m1,COLUMBUS,What do you read?,neutral
L2160,u16,m1,COLUMBUS,Come over here.,neutral
L2159,u20,m1,MENDEZ,Well I surely know what a quadrant is! But I've never seen it used at night before.,positive
L2158,u16,m1,COLUMBUS,And what do you think Mendez?,neutral
L2157,u20,m1,MENDEZ,Well It's the men Sir. They wonder how you know our position. We've lost sight from land days ago,negative
L2155,u20,m1,MENDEZ,God be with us admiral.,positive
L2154,u16,m1,COLUMBUS,Due west Captain Mendez. And may God be with us,positive
L2211,u16,m1,COLUMBUS,You're right. Let the men decide.,positive
L2210,u22,m1,PINZON,You tell that to them!,neutral
L2209,u16,m1,COLUMBUS,Pinzon Pinzon All we can do now is go forward! Think about that!,neutral
L2208,u22,m1,PINZON,You bloody,negative
L2207,u16,m1,COLUMBUS,You never did. You did all the talking for both of us remember?,negative
L2206,u22,m1,PINZON,Jesus Maria! I should have never listened to you!,negative
L2205,u16,m1,COLUMBUS,And then what? Half of the water has gone the rest is nearly putrid! You know that!,negative
L2204,u22,m1,PINZON,You don't know anything! Listen Colon these are my ships right? So I'm telling you we're turning back!,neutral
L2203,u16,m1,COLUMBUS,The land is there. I know it!,positive
L2202,u22,m1,PINZON,We're lost!,negative
L2201,u16,m1,COLUMBUS,You think I don't know that?,negative
L2200,u22,m1,PINZON,We're on the verge of a mutiny Colon!,positive
L2199,u16,m1,COLUMBUS,We have to keep the hopes of these men alive!,positive
L2198,u22,m1,PINZON,You must be mad!,negative
L2197,u16,m1,COLUMBUS,Six days ago yes.,positive
L2196,u22,m1,PINZON,You lied! You cheated! We're way past 750 leagues!,negative
L2065,u22,m1,PINZON,Immediately.,positive
L2064,u16,m1,COLUMBUS,Where can I meet this man?,negative
L2462,u18,m1,ISABEL,Because he is not afraid of me.,positive
L2461,u24,m1,SANCHEZ,Then why?,negative
L2460,u18,m1,ISABEL,I know I should not tolerate his impertinence.,negative
L2419,u18,m1,ISABEL,And who would you think of for such a task?,negative
L2418,u24,m1,SANCHEZ,He must be replaced.,negative
L2417,u18,m1,ISABEL,Then what do you suggest Don Sanchez?,neutral
L2415,u18,m1,ISABEL,Is this true Brother Buyl?,positive
L2414,u24,m1,SANCHEZ, But there is worse. He ordered the execution of five members of the nobility,negative
L2377,u18,m1,ISABEL,We weren't expecting immediate profits were we? We must have faith. We must give time for time.,positive
L2376,u24,m1,SANCHEZ,Every ship returns with a cargo of sick and dying. But with no gold! The new world proves expensive Your Majesty.,neutral
L2116,u18,m1,ISABEL,Yes. It would be a pity wouldn't it? Call him back!,neutral
L2115,u24,m1,SANCHEZ, Into a monk,positive
L2113,u24,m1,SANCHEZ,Never Your Majesty. Although,negative
L2112,u18,m1,ISABEL,You were right Don Sanchez His demands could never be granted.,positive
L1931,u24,m1,SANCHEZ,Yes Your Majesty.,positive
L1930,u18,m1,ISABEL,Is that the man I knew Treasurer Sanchez?,positive
